Year,Country,Resettled by destination per capita,Child migrants (UNICEF),Child migrants (under-20s),Asylum seekers by origin (per capita),Child migrants per capita (under-20s),Refugees by destination.1,Internal displacement (disasters),Annual internal displacements (Disaster),Asylum seekers by destination,Annual internal displacement from conflict (%),Refugees by destination (per capita),Refugees by origin (per capita),"Child migrants (UNICEF, under-18s)",Refugees by origin,Internal displacement (disaster),Emigrants,Annual internal displacement (conflict),Internal displacement share (conflict),Asylum seekers by origin,International immigrants (% population),International migrants,Internal displacement (conflict),Asylum seekers by destination (per capita),Resettled arrivals by origin (per capita),Annual internal displacement from disaster (%),Child migrants (UNDESA),Child migrants per capita (UNDESA),Net migration,Remittances cost (from),International emigrants (% population),Refugees by destination (per capita).1
2002,United Kingdom,,,,0.111,,251133.0,,,40460.0,,,0.002,,131.0,,,,,66.0,,,,68.199,0.01,,,,,,,4.233
2003,United Kingdom,,,,0.107,,274516.0,,,25240.0,,,0.002,,136.0,,,,,63.0,,,,42.376,,,,,,,,4.609
2004,United Kingdom,0.265,,,0.095,,288146.0,,,19960.0,,,0.003,,149.0,,,,,56.0,,,,33.337,,,,,,,,4.813
2005,United Kingdom,0.41,,641763.0,0.082,10.645,295949.0,,,13860.0,,5.236,0.003,,157.0,,4145206.0,,,49.0,9.83,5926156.0,,22.99,,,362378.0,6.011,992223.0,,6.876,4.909
2006,United Kingdom,0.637,,,0.068,,299062.0,,,11800.0,,,0.003,,165.0,,,,,41.0,,,,19.401,0.008,,,,,,,4.917
2007,United Kingdom,0.892,,,0.066,,293168.0,,,12340.0,,,0.003,,167.0,,,,,40.0,,,,20.08,,,,,,,,4.77
2008,United Kingdom,1.056,,,0.061,,280162.0,,,12816.0,,,0.003,,171.0,,,,,38.0,,,,20.623,,,,,,,,4.508
2009,United Kingdom,1.069,,,0.06,,258553.0,,,13708.0,,,0.003,,167.0,,,,,37.0,,,,21.818,,,,,,,,4.115
2010,United Kingdom,1.224,,862110.0,0.062,13.585,228571.0,,,15327.0,,3.987,0.002,,157.0,,4432928.0,,,39.0,11.219,7119664.0,,24.153,,,553338.0,8.72,2189404.0,,6.985,3.602
2011,United Kingdom,1.289,,,0.074,,195362.0,,,17626.0,,,0.002,,149.0,,,,,47.0,,,,27.532,,,,,,,,3.051
2012,United Kingdom,1.226,,,0.084,,164936.0,,,22417.0,,,0.002,,145.0,,,,,54.0,,,,34.742,,,,,,,,2.556
2013,United Kingdom,1.572,,,0.104,,141919.0,,5447.0,28611.0,,,0.002,,141.0,,,,,67.0,,,,44.029,,0.008,,,,7.796,,2.184
2014,United Kingdom,3.005,,,0.121,,127015.0,,5680.0,33938.0,,,0.002,,126.0,,,,,79.0,,,,51.876,,0.009,,,,7.72,,1.941
2015,United Kingdom,4.556,,984061.0,0.155,14.942,121421.0,,6854.0,38230.0,,2.565,0.002,,113.0,,4379366.0,,,102.0,12.765,8406996.0,,58.048,,0.01,627237.0,9.524,1300231.0,7.546,6.649,1.844
2016,United Kingdom,5.985,,,0.189,,121555.0,,2837.0,42258.0,,,0.002,,102.0,,,,,125.0,,,,63.74,,0.004,,,,7.282,,1.833
2017,United Kingdom,7.393,,,0.233,,124727.0,,5063.0,47376.0,,,0.001,,88.0,,,,,155.0,,,,71.0,,0.008,,,,7.226,,1.869
2018,United Kingdom,7.037,,,0.259,,126577.0,,4830.0,53655.0,,,0.001,,75.0,,,,,173.0,,,,79.913,,0.007,,,,7.059,,1.885
2019,United Kingdom,5.657,,,0.306,,129965.0,0.002,,61653.0,,,0.001,,72.0,1500.0,,,,206.0,,,,91.298,,,,,,,,1.925
2020,United Kingdom,,920000.0,1084671.0,,15.978,,0.0,,,,2.873,,13.552,,200.0,4732510.0,,,,13.787,9359587.0,,,,,684695.0,10.086,1303250.0,,6.971,
1953,United States,,,,,,470000.0,,,,,,,,,,,,,,,,,,,,,,,,,2.833
1954,United States,,,,,,500000.0,,,,,,,,,,,,,,,,,,,,,,,,,2.963
1955,United States,,,,,,500000.0,,,,,,,,,,,,,,,,,,,,,,867763.0,,,2.912
1956,United States,,,,,,500000.0,,,,,,,,,,,,,,,,,,,,,,,,,2.862
1957,United States,,,,,,500000.0,,,,,,,,,,,,,,,,,,,,,,,,,2.813
1958,United States,,,,,,500000.0,,,,,,,,,,,,,,,,,,,,,,,,,2.766
1959,United States,,,,,,500000.0,,,,,,,,,,,,,,,,,,,,,,,,,2.721
1960,United States,,,,,,500000.0,,,,,,,,,,,,,,,,,,,,,,2124893.0,,,2.678
1961,United States,,,,,,500000.0,,,,,,,,,,,,,,,,,,,,,,,,,2.638
1962,United States,,,,,,500000.0,,,,,,,,,,,,,,,,,,,,,,,,,2.6
1963,United States,,,,,,502000.0,,,,,,,,,,,,,,,,,,,,,,,,,2.575
1964,United States,,,,,,502000.0,,,,,,,,,,,,,,,,,,,,,,,,,2.543
1965,United States,,,,,,498000.0,,,,,,,,,,,,,,,,,,,,,,1835728.0,,,2.493
1966,United States,,,,,,497600.0,,,,,,,,,,,,,,,,,,,,,,,,,2.465
1967,United States,,,,,,497600.0,,,,,,,,,,,,,,,,,,,,,,,,,2.44
1968,United States,,,,,,495600.0,,,,,,,,,,,,,,,,,,,,,,,,,2.408
1969,United States,,,,,,501600.0,,,,,,,,,,,,,,,,,,,,,,,,,2.415
1970,United States,,,,,,511600.0,,,,,,,,,,,,,,,,,,,,,,1556054.0,,,2.442
1971,United States,,,,,,518000.0,,,,,,,,,,,,,,,,,,,,,,,,,2.451
1972,United States,,,,,,524000.0,,,,,,,,,,,,,,,,,,,,,,,,,2.457
1973,United States,,,,,,530000.0,,,,,,,,,,,,,,,,,,,,,,,,,2.463
1974,United States,,,,,,524000.0,,,,,,,,,,,,,,,,,,,,,,,,,2.413
1975,United States,,,,,,554940.0,,,,,,,,,,,,,,,,,,,,,,2889346.0,,,2.533
1976,United States,,,,,,595740.0,,,,,,,,,,,,,,,,,,,,,,,,,2.695
1977,United States,,,,,,636540.0,,,,,,,,,,,,,,,,,,,,,,,,,2.853
1978,United States,,,,,,611276.0,,,,,,,,,,,,,,,,,,,,,,,,,2.714
1979,United States,,,,,,618751.0,,,,,,,,,,,,,,,,,,,,,,,,,2.722
1980,United States,,,,,,605863.0,,,,,,,,,,,,,,,,,,,,,,3770881.0,,,2.64
1981,United States,,,,,,590169.0,,,,,,,,,,,,,,,,,,,,,,,,,2.548
1982,United States,,,,,,568751.0,,,,,,,,,,,,,,,,,,,,,,,,,2.432
1983,United States,,,,,,586575.0,,,,,,,,,,,,,,,,,,,,,,,,,2.485
1984,United States,30.443,,,,,558827.0,,,,,,,,,,,,,,,,,,,,,,,,,2.345
1985,United States,27.454,,,,,507921.0,,,,,,,,,,,,,,,,,,,,,,3382460.0,,,2.112
1986,United States,28.251,,,,,452368.0,,,,,,,,,,,,,,,,,,,,,,,,,1.863
1987,United States,30.935,,,,,409286.0,,,,,,,,,,,,,,,,,,,,,,,,,1.67
1988,United States,35.03,,,,,403702.0,,,,,,,,,,,,,,,,,,,,,,,,,1.632
1989,United States,38.733,,,,,426752.0,,,,,,,,,,,,,,,,,,,,,,,,,1.709
1990,United States,43.697,,3137448.0,,12.444,469595.0,,,,,1.844,,,,,1726213.0,,,,9.222,23251026.0,,,,,1759715.0,6.98,3366853.0,,0.685,1.863
1991,United States,46.659,,,,,518652.0,,,,,,,,,,,,,,,,,,,,,,,,,2.038
1992,United States,46.638,,,,,562562.0,,,,,,,,,,,,,,,,,,0.028,,,,,,,2.189
1993,United States,44.425,,,,,594240.0,,,,,,0.0,,126.0,,,,,,,,,,0.018,,,,,,,2.29
1994,United States,41.135,,,,,612864.0,,,,,,0.001,,153.0,,,,,,,,,,0.01,,,,,,,2.337
1995,United States,36.01,,3501816.0,,13.206,609639.0,,,,,2.351,0.001,,166.0,,1827431.0,,,,10.73,28451053.0,,,0.005,,1964949.0,7.41,4463754.0,,0.689,2.299
1996,United States,32.384,,,,,591818.0,,,,,,0.001,,174.0,,,,,,,,,,,,,,,,,2.206
1997,United States,29.944,,,,,569836.0,,,,,,0.0,,109.0,,,,,,,,,,,,,,,,,2.097
1998,United States,27.606,,,,,546822.0,,,,,,0.0,,95.0,,,,,,,,,,,,,,,,,1.987
1999,United States,26.751,,,,,528591.0,,,,,,0.0,,111.0,,,,,,,,,,,,,,,,,1.898
2000,United States,23.343,,4522400.0,,16.053,512863.0,,,,,3.175,0.001,,172.0,,1979327.0,,,,12.358,34814053.0,,,,,2574487.0,9.139,8859954.0,,0.703,1.821
2001,United States,19.723,,,,,496580.0,,,,,,0.001,,241.0,,,,,,,,,,,,,,,,,1.745
2002,United States,17.302,,,0.072,,476523.0,,,358409.0,,,0.001,,324.0,,,,,208.0,,,,124.76,,,,,,,,1.659
2003,United States,15.86,,,0.083,,450747.0,,,315089.0,,,0.001,,424.0,,,,,241.0,,,,108.721,,,,,,,,1.555
2004,United States,13.864,,,0.102,,516274.0,,,260758.0,,,0.002,,651.0,,,,,297.0,,,,89.193,,,,,,,,1.766
2005,United States,15.229,,5447057.0,0.16,18.465,475483.0,,,198458.0,,1.861,0.003,,1007.0,,2296999.0,,,471.0,13.308,39258293.0,,67.275,,,3087235.0,10.465,5334893.0,,0.779,1.612
2006,United States,17.222,,,0.252,,440885.0,,,142123.0,,,0.005,,1354.0,,,,,750.0,,,,47.731,,,,,,,,1.481
2007,United States,18.86,,,0.328,,411807.0,,,102140.0,,,0.006,,1737.0,,,,,985.0,,,,33.978,,,,,,,,1.37
2008,United States,19.838,,,0.365,,388853.0,,,69454.0,,,0.007,,2205.0,,,,,1107.0,,,,22.885,,,,,,,,1.281
2009,United States,20.319,,,0.375,,273106.0,,,46955.0,,,0.009,,2690.0,,,,,1148.0,,,,15.329,,,,,,,,0.892
2010,United States,21.307,,5371868.0,0.327,17.384,269264.0,,594851.0,33973.0,,0.877,0.01,,3148.0,,2670652.0,,,1011.0,14.298,44183643.0,,10.994,0.002,0.193,3031644.0,9.811,5428756.0,,0.864,0.871
2011,United States,21.52,,,0.231,,266085.0,,228469.0,36999.0,,,0.012,,3674.0,,,,,720.0,,,,11.875,,0.073,,,,,,0.854
2012,United States,20.91,,,0.148,,264437.0,,235068.0,61810.0,,,0.013,,4196.0,,,,,464.0,,,,19.682,,0.075,,,,,,0.842
2013,United States,20.447,,,0.107,,266164.0,,247736.0,117791.0,,,0.014,,4557.0,,,,,340.0,,,,37.228,,0.078,,,,6.423,,0.841
2014,United States,23.152,,,0.088,,267806.0,,458755.0,203423.0,,,0.012,,3863.0,,,,,279.0,,,,63.835,,0.144,,,,6.255,,0.84
2015,United States,20.941,,4020922.0,0.198,12.531,272832.0,,615728.0,328178.0,,1.743,0.009,,3034.0,,2717761.0,,,634.0,15.015,48178877.0,,102.275,0.002,0.192,2158688.0,6.727,4961716.0,6.036,0.847,0.85
2016,United States,18.119,,,0.354,,282750.0,,827613.0,455113.0,,,0.007,,2149.0,,,,,1145.0,,,,140.895,0.004,0.256,,,,5.836,,0.875
2017,United States,15.204,,,0.534,,297650.0,,1004019.0,587072.0,,,0.004,,1213.0,,,,,1737.0,,,,180.59,0.005,0.309,,,,5.724,,0.916
2018,United States,11.631,,,0.668,,311180.0,,1334149.0,729435.0,,,0.001,,318.0,,,,,2186.0,,,,223.003,0.006,0.408,,,,5.544,,0.951
2019,United States,5.904,,,0.73,,324161.0,0.011,,890907.0,,,0.001,,404.0,37000.0,,,,2402.0,,,,270.739,,,,,,,,0.985
2020,United States,,3325000.0,4225723.0,,12.766,,0.038,,,,3.593,,10.045,,126000.0,2996223.0,,,,15.297,50632836.0,,,,,2268638.0,6.854,4774029.0,,0.905,
1955,United States Virgin Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,-302.0,,,
1960,United States Virgin Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,-537.0,,,
1965,United States Virgin Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,10270.0,,,
1970,United States Virgin Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,3245.0,,,
1975,United States Virgin Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,9407.0,,,
1980,United States Virgin Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,1961.0,,,
1985,United States Virgin Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3492.0,,,
1990,United States Virgin Islands,,,12240.0,,,,,,,,,,,,,2309.0,,,,,51970.0,,,,,8180.0,,-11156.0,,,
1995,United States Virgin Islands,,,12773.0,,,,,,,,,,,,,3030.0,,,,,54241.0,,,,,8536.0,,-4618.0,,,
2000,United States Virgin Islands,,,9333.0,,,,,,,,,,,,,3814.0,,,,,56611.0,,,,,6387.0,,-3936.0,,,
2005,United States Virgin Islands,,,8744.0,,,,,,,,,,,,,3638.0,,,,,56647.0,,,,,5957.0,,-5272.0,,,
2010,United States Virgin Islands,,,6791.0,,,,,,,,,,,,,3711.0,,,,,56684.0,,,,,4729.0,,-6267.0,,,
2015,United States Virgin Islands,,,6936.0,,,,,,,,,,,,,3953.0,,,,,56721.0,,,,,4497.0,,-4501.0,,,
2020,United States Virgin Islands,,6000.0,7079.0,,,,,,,,,,,,,3908.0,,,,,56753.0,,,,,4461.0,,-2254.0,,,
1953,Unknown,,,,,,166140.0,,,,,,,,1876767.0,,,,,,,,,,,,,,,,,
1954,Unknown,,,,,,167800.0,,,,,,,,1807160.0,,,,,,,,,,,,,,,,,
1955,Unknown,,,,,,166740.0,,,,,,,,1765077.0,,,,,,,,,,,,,,,,,
1956,Unknown,,,,,,163740.0,,,,,,,,1735278.0,,,,,,,,,,,,,,,,,
1957,Unknown,,,,,,160940.0,,,,,,,,1720190.0,,,,,,,,,,,,,,,,,
1958,Unknown,,,,,,157160.0,,,,,,,,1677929.0,,,,,,,,,,,,,,,,,
1959,Unknown,,,,,,153180.0,,,,,,,,1621748.0,,,,,,,,,,,,,,,,,
1960,Unknown,,,,,,149700.0,,,,,,,,1561969.0,,,,,,,,,,,,,,,,,
1961,Unknown,,,,,,144260.0,,,,,,,,1488188.0,,,,,,,,,,,,,,,,,
1962,Unknown,,,,,,138466.0,,,,,,,,1419003.0,,,,,,,,,,,,,,,,,
1963,Unknown,,,,,,160466.0,,,,,,,,1423537.0,,,,,,,,,,,,,,,,,
1964,Unknown,,,,,,158454.0,,,,,,,,1393262.0,,,,,,,,,,,,,,,,,
1965,Unknown,,,,,,166004.0,,,,,,,,1372772.0,,,,,,,,,,,,,,,,,
1966,Unknown,,,,,,170846.0,,,,,,,,1367060.0,,,,,,,,,,,,,,,,,
1967,Unknown,,,,,,165344.0,,,,,,,,1380296.0,,,,,,,,,,,,,,,,,
1968,Unknown,,,,,,117144.0,,,,,,,,1332503.0,,,,,,,,,,,,,,,,,
1969,Unknown,,,,,,255316.0,,,,,,,,1474400.0,,,,,,,,,,,,,,,,,
1970,Unknown,,,,,,364250.0,,,,,,,,1594842.0,,,,,,,,,,,,,,,,,
1971,Unknown,,,,,,449998.0,,,,,,,,1695452.0,,,,,,,,,,,,,,,,,
1972,Unknown,,,,,,557192.0,,,,,,,,1781051.0,,,,,,,,,,,,,,,,,
1973,Unknown,,,,,,703816.0,,,,,,,,1907096.0,,,,,,,,,,,,,,,,,
1974,Unknown,,,,,,658876.0,,,,,,,,1992582.0,,,,,,,,,,,,,,,,,
1975,Unknown,,,,,,538572.0,,,,,,,,2039619.0,,,,,,,,,,,,,,,,,
1976,Unknown,,,,,,453230.0,,,,,,,,2048241.0,,,,,,,,,,,,,,,,,
1977,Unknown,,,,,,360430.0,,,,,,,,2063433.0,,,,,,,,,,,,,,,,,
1978,Unknown,,,,,,243136.0,,,,,,,,1997204.0,,,,,,,,,,,,,,,,,
1979,Unknown,,,,,,143102.0,,,,,,,,1838759.0,,,,,,,,,,,,,,,,,
1980,Unknown,,,,,,138672.0,,,,,,,,1747492.0,,,,,,,,,,,,,,,,,
1981,Unknown,,,,,,128480.0,,,,,,,,1749509.0,,,,,,,,,,,,,,,,,
1982,Unknown,,,,,,128786.0,,,,,,,,1703610.0,,,,,,,,,,,,,,,,,
1983,Unknown,,,,,,128156.0,,,,,,,,1762746.0,,,,,,,,,,,,,,,,,
1984,Unknown,,,,,,228610.0,,,,,,,,1897739.0,,,,,,,,,,,,,,,,,
1985,Unknown,,,,,,300280.0,,,,,,,,1998757.0,,,,,,,,,,,,,,,,,
1986,Unknown,,,,,,281188.0,,,,,,,,2076589.0,,,,,,,,,,,,,,,,,
1987,Unknown,,,,,,248255.0,,,,,,,,2229806.0,,,,,,,,,,,,,,,,,
1988,Unknown,,,,,,216412.0,,,,,,,,2366422.0,,,,,,,,,,,,,,,,,
1989,Unknown,,,,,,96530.0,,,,,,,,2344874.0,,,,,,,,,,,,,,,,,
1990,Unknown,,,,,,8453.0,,,,,,,,2523112.0,,,,,,,,,,,,,,,,,
1991,Unknown,,,,,,,,,,,,,,2521668.0,,,,,,,,,,,,,,,,,
1992,Unknown,,,,,,,,,,,,,,2395309.0,,,,,,,,,,,,,,,,,
1993,Unknown,,,,,,,,,,,,,,2314960.0,,,,,,,,,,,,,,,,,
1994,Unknown,,,,,,,,,,,,,,2148001.0,,,,,,,,,,,,,,,,,
1995,Unknown,,,,,,,,,875997.0,,,,,1737458.0,,,,,875997.0,,,,,,,,,,,,
1996,Unknown,,,,,,,,,922837.0,,,,,1503776.0,,,,,922837.0,,,,,,,,,,,,
1997,Unknown,,,,,,,,,999389.0,,,,,1390504.0,,,,,999389.0,,,,,,,,,,,,
1998,Unknown,,,,,,,,,,,,,,1181085.0,,,,,840493.0,,,,,,,,,,,,
1999,Unknown,,,,,,,,,,,,,,1118430.0,,,,,672476.0,,,,,,,,,,,,
2000,Unknown,,,,,,,,,,,,,,963226.0,,,,,520508.0,,,,,,,,,,,,
2001,Unknown,,,,,,,,,,,,,,813124.0,,,,,370806.0,,,,,,,,,,,,
2002,Unknown,,,,,,,,,,,,,,635997.0,,,,,210435.0,,,,,,,,,,,,
2003,Unknown,,,,,,,,,,,,,,449565.0,,,,,197233.0,,,,,,,,,,,,
2004,Unknown,,,,,,,,,,,,,,279048.0,,,,,211731.0,,,,,,,,,,,,
2005,Unknown,,,,,,,,,,,,,,259907.0,,,,,194336.0,,,,,,,,,,,,
2006,Unknown,,,,,,,,,,,,,,234022.0,,,,,198693.0,,,,,,,,,,,,
2007,Unknown,,,,,,,,,,,,,,201119.0,,,,,243039.0,,,,,,,,,,,,
2008,Unknown,,,,,,,,,,,,,,197100.0,,,,,272157.0,,,,,,,,,,,,
2009,Unknown,,,,,,,,,,,,,,176718.0,,,,,287027.0,,,,,,,,,,,,
2010,Unknown,,,,,,,,,,,,,,164466.0,,,,,296042.0,,,,,,,,,,,,
2011,Unknown,,,,,,,,,,,,,,147769.0,,,,,277611.0,,,,,,,,,,,,
2012,Unknown,,,,,,,,,,,,,,130661.0,,,,,279325.0,,,,,,,,,,,,
2013,Unknown,,,,,,,,,,,,,,121262.0,,,,,434477.0,,,,,,,,,,,,
2014,Unknown,,,,,,,,,,,,,,120010.0,,,,,421069.0,,,,,,,,,,,,
2015,Unknown,,,,,,,,,,,,,,133888.0,,,,,382692.0,,,,,,,,,,,,
2016,Unknown,,,,,,,,,,,,,,155755.0,,,,,364019.0,,,,,,,,,,,,
2017,Unknown,,,,,,,,,,,,,,172151.0,,,,,297427.0,,,,,,,,,,,,
2018,Unknown,,,,,,,,,,,,,,184940.0,,,,,109724.0,,,,,,,,,,,,
2019,Unknown,,,,,,,,,,,,,,194369.0,,,,,78080.0,,,,,,,,,,,,
1981,Upper middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982,Upper middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983,Upper middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984,Upper middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985,Upper middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986,Upper middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987,Upper middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989,Upper middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991,Upper middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,Upper middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993,Upper middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994,Upper middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,Upper middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,Upper middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997,Upper middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,Upper middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Upper middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,Upper middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,Upper middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,Upper middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,Upper middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,Upper middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,Upper middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,Upper middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,Upper middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,Upper middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,Upper middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Upper middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,Upper middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,Upper middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,Upper middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,Upper middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Upper middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Upper middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Upper middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,Upper middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1955,Upper-middle-income countries,,,,,,,,,,,,,,,,,,,,,,,,,,,,-566222.0,,,
1960,Upper-middle-income countries,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1514093.0,,,
1965,Upper-middle-income countries,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3631210.0,,,
1970,Upper-middle-income countries,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2329679.0,,,
1975,Upper-middle-income countries,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3769547.0,,,
1980,Upper-middle-income countries,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2901132.0,,,
1985,Upper-middle-income countries,,,,,,,,,,,,,,,,,,,,,,,,,,,,-683414.0,,,
1990,Upper-middle-income countries,,,8856116.0,,,,,,,,,,,,,46251718.0,,,,,35289343.0,,,,,6174391.0,,-2945797.0,,,
1995,Upper-middle-income countries,,,8001097.0,,,,,,,,,,,,,53059271.0,,,,,35213683.0,,,,,5452394.0,,-5842664.0,,,
2000,Upper-middle-income countries,,,7644727.0,,,,,,,,,,,,,59585818.0,,,,,35822210.0,,,,,5215437.0,,-3805068.0,,,
2005,Upper-middle-income countries,,,7764095.0,,,,,,,,,,,,,65735241.0,,,,,38209661.0,,,,,5110508.0,,-3962417.0,,,
2010,Upper-middle-income countries,,,8124870.0,,,,,,,,,,,,,74175415.0,,,,,42080101.0,,,,,5480438.0,,-3997476.0,,,
2015,Upper-middle-income countries,,,10040430.0,,,,,,,,,,,,,77576140.0,,,,,50991477.0,,,,,7260847.0,,3312743.0,,,
2020,Upper-middle-income countries,,,11969620.0,,,,,,,,,,,,,87648518.0,,,,,57383443.0,,,,,8780524.0,,-1471945.0,,,
1955,Uruguay,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000.0,,,
1960,Uruguay,,,,,,,,,,,,,,,,,,,,,,,,,,,,20000.0,,,
1965,Uruguay,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6000.0,,,
1970,Uruguay,,,,,,,,,,,,,,,,,,,,,,,,,,,,-34000.0,,,
1972,Uruguay,,,,,,1550.0,,,,,,,,,,,,,,,,,,,,,,,,,0.549
1974,Uruguay,,,,,,1650.0,,,,,,,,,,,,,,,,,,,,,,,,,0.584
1975,Uruguay,,,,,,,,,,,,,,,,,,,,,,,,,,,,-136000.0,,,
1976,Uruguay,,,,,,,,,,,,0.336,,955.0,,,,,,,,,,,,,,,,,
1977,Uruguay,,,,,,1750.0,,,,,,,,,,,,,,,,,,,,,,,,,0.613
1978,Uruguay,,,,,,1790.0,,,,,,,,,,,,,,,,,,,,,,,,,0.622
1979,Uruguay,,,,,,1880.0,,,,,,,,,,,,,,,,,,,,,,,,,0.649
1980,Uruguay,,,,,,1492.0,,,,,,0.158,,460.0,,,,,,,,,,1.866,,,,-60000.0,,,0.512
1981,Uruguay,,,,,,1122.0,,,,,,0.12,,351.0,,,,,,,,,,2.126,,,,,,,0.382
1982,Uruguay,,,,,,744.0,,,,,,0.052,,152.0,,,,,,,,,,2.762,,,,,,,0.252
1983,Uruguay,,,,,,418.0,,,,,,0.086,,255.0,,,,,,,,,,2.422,,,,,,,0.141
1984,Uruguay,,,,,,,,,,,,0.087,,259.0,,,,,,,,,,,,,,,,,
1985,Uruguay,,,,,,100.0,,,,,,0.054,,162.0,,,,,,,,,,,,,,-30000.0,,,0.033
1986,Uruguay,,,,,,110.0,,,,,,0.054,,164.0,,,,,,,,,,,,,,,,,0.036
1987,Uruguay,,,,,,102.0,,,,,,0.056,,171.0,,,,,,,,,,,,,,,,,0.033
1988,Uruguay,,,,,,97.0,,,,,,0.076,,233.0,,,,,,,,,,,,,,,,,0.032
1989,Uruguay,,,,,,99.0,,,,,,0.111,,343.0,,,,,,,,,,,,,,,,,0.032
1990,Uruguay,,,11901.0,,3.827,95.0,,,,,0.028,0.136,,422.0,,237486.0,,,,3.155,98116.0,,,,,9564.0,3.076,-30000.0,,7.637,0.031
1991,Uruguay,,,,,,99.0,,,,,,0.143,,448.0,,,,,,,,,,,,,,,,,0.032
1992,Uruguay,,,,,,101.0,,,,,,0.152,,480.0,,,,,,,,,,,,,,,,,0.032
1993,Uruguay,,,,,,107.0,,,,,,0.115,,364.0,,,,,,,,,,,,,,,,,0.034
1994,Uruguay,,,,,,117.0,,,,,,0.089,,284.0,,,,,,,,,,,,,,,,,0.037
1995,Uruguay,,,11331.0,,3.514,126.0,,,,,0.041,0.067,,215.0,,233993.0,,,,2.898,93428.0,,,,,9106.0,2.824,-20000.0,,7.257,0.039
1996,Uruguay,,,,,,132.0,,,,,,0.061,,197.0,,,,,,,,,,,,,,,,,0.041
1997,Uruguay,,,,,,126.0,,,,,,0.04,,132.0,,,,,,,,,,,,,,,,,0.039
1998,Uruguay,,,,,,116.0,,,,,,0.027,,89.0,,,,,,,,,,,,,,,,,0.035
1999,Uruguay,,,,,,108.0,,,,,,0.017,,57.0,,,,,,,,,,,,,,,,,0.033
2000,Uruguay,,,13605.0,,4.098,100.0,,,,,0.025,0.016,,52.0,,235641.0,,,,2.677,88874.0,,,,,10133.0,3.052,-26000.0,,7.098,0.03
2001,Uruguay,,,,,,84.0,,,,,,0.015,,49.0,,,,,,,,,,,,,,,,,0.026
